Number of spins,DPMC,TensorOrder,Cachet
5,0.0166,0.09644436836242676,0.02024188041687012
15,0.0306,0.19429244995117187,0.12735962867736816
25,0.059199999999999996,0.29569220542907715,FAILED
35,0.20679999999999996,0.4948216438293457,FAILED
45,1.0046,0.6020473957061767,FAILED
55,32.8214,1.005462646484375,FAILED
65,30.6158,1.190729284286499,FAILED
75,FAILED,6.195490407943725,FAILED
85,FAILED,FAILED,FAILED
95,FAILED,FAILED,FAILED
