Lattice side length (L x L spins),DPMC,TensorOrder,Cachet
2,0.017,0.0727088451385498,0.023035526275634766
4,0.043,0.31873250007629395,0.2526416778564453
6,0.443,0.583803653717041,FAILED
8,200.8,1.3742694854736328,FAILED
10,FAILED,5.878492832183838,FAILED
12,FAILED,10.455811977386475,FAILED
